BN,BW,LP,FS,FE,MIC,FL,FU,SFBA,FFBA,EFBA,SFBL,FFBL,EFBL,FBA,NNFF,FBN,FBL,LBN,PH,PW,PBS
13.6,6.69,41.76659125,25.4,10.55,4.63,30.785,86.5,63.64,54.46,55.35,16.65,26.9,16.3,57.82,5.2,9.7,19.95,1.8,86,56,0.44
9.85,5.4,31.63574504,28.45,8.45,4.695,26.34,83.45,71.2,62.52,59.83,7.2,16.55,19.45,64.52,4.2,12,14.4,1.3,74.3,48.7,0.23
14.2,5.64,38.10891932,28.85,12.35,4.16,31.955,86.75,59.88,59.19,59.25,13.4,18.9,19.5,59.44,5,11.2,17.27,2,101.3,46.9,0.41
13.4,4.63,31.44261109,25.15,9.8,5.275,24.78,81.35,73.22,66.91,72.02,15.1,20.45,19.3,70.72,5.1,12.1,18.28,2.2,78.2,55.5,0.35
12.35,6.32,36.82880947,31.65,8.25,4.255,30.635,87.05,57.64,56.96,55.3,19.1,19.35,13.2,56.63,5.2,10.9,17.22,2.4,93.3,53.7,0.34
9.65,5.37,37.30317482,23.65,9.6,5.79,21.615,79,60.99,60.71,62.43,21.05,24.25,18.6,61.38,3.8,10.4,21.3,1.4,52.9,47.6,0.3
10.35,5.28,37.0988935,33.6,9.65,4.66,31.525,88.85,55.6,57.7,56.63,12.8,16,14.25,56.64,4.1,10.1,14.35,1.6,67.5,43.6,0.2
12.35,6.08,36.76830216,25.35,8.4,4.12,28.115,83.8,64.61,64.44,60.34,9.1,16.75,16.75,63.13,4.1,10.5,14.2,1.8,71.3,47.2,0.38
9,6.59,38.20553279,28.75,7.3,4.65,29.02,85.45,67.35,62.87,61.18,8.8,15.05,12.85,63.8,4.7,11.4,12.23,1.1,73.2,39.8,0.38
15.9,5.08,34.02847896,27.05,7.45,4.355,29.255,85.05,68.92,60.92,59.9,17.2,23.25,19.9,63.25,5.6,9.9,20.12,1.3,71,51.3,0.59
12.3,5.62,44.66122911,23.75,7.75,4.53,28.945,82.75,61.02,56.67,54.96,9.85,13.9,9.05,57.55,4.8,10.3,10.93,1.9,72.2,47.8,0.54
10.25,5.48,42.68304062,26.65,11.55,5.12,27.73,85.2,57.67,62.19,57.34,11.25,19.95,17.2,59.07,4.3,10.6,16.13,1.4,57.6,44.2,0.42
13.55,5.96,39.80996241,24.05,8.85,4.965,26.44,84.2,64.82,61.81,61.88,8.9,11.9,9.05,62.84,4.4,10.3,9.95,1.4,60.8,34.8,0.29
10.15,6.26,35.89547506,28,11.05,3.755,31.295,84.55,57.61,56.49,52.06,9,12.65,6.7,55.39,4.9,9.2,9.45,1.3,59.9,34.2,0.16
13.5,5.72,40.82207977,26.2,9.25,4.29,29.705,84.4,62.59,61.38,57.51,11.6,10.4,11.4,60.49,4.6,10,11.13,2.1,61.3,34,0.47
11.55,6.83,40.81519335,26.4,8.05,4.525,28.63,84.3,62.96,53.49,53.45,19.2,20.3,13.4,56.63,4.7,10.9,17.63,1.9,67.3,45.7,0.41
12.7,4.29,24.72001246,20.4,9.6,4.07,21.675,79.6,64.42,65.43,61.43,9.2,14.85,11.4,63.76,4.3,11.2,11.82,1.7,57.4,36.6,0.31
17.35,6.48,39.07381568,23.3,8.35,4.475,26.335,82.95,69.12,63.49,61,16.65,24.7,28.15,64.54,6.8,10.3,23.17,0.9,105.1,60.1,0.32
16.8,5.31,34.34355689,25.35,9.8,4.645,28.385,82.95,65.99,59.63,55.75,9.7,14.7,11.9,60.46,5.3,10.7,12.1,1.1,74.4,42.3,0.5
16.05,6.26,42.70633528,29.7,9.25,4.51,30.04,86.75,61.95,58.03,55.25,12.55,24,19.05,58.41,5.2,12,18.53,0.7,89.2,57.5,0.31
13.15,6.76,40.68879694,26.35,8.75,4.94,30.81,85.8,68.78,73.99,63.45,15.7,24.9,20.4,68.74,5.3,10.6,20.33,1.6,95.6,53.7,0.43
14.45,5.43,41.25963282,25.75,8.75,5.16,27.685,84.7,55.21,53.28,52.3,9.6,18.6,13.1,53.6,4.4,9.9,13.77,1.7,56.4,41.2,0.5
14.3,7.15,41.22793755,31.6,8.65,3.195,30.22,86.15,64.53,58.71,56.85,11.4,15.9,17.95,60.03,4.9,9.8,15.08,1.6,77.8,46.2,0.54
16.35,6,43.17335728,27.7,10.8,5.27,28.78,86.15,57.64,53.13,51.13,21.8,19.5,18.1,53.97,6.8,8.8,19.8,2.2,78.9,48.6,0.54
11.75,6.37,42.6437154,26.9,10.1,4.49,29.305,85.95,57.29,55.32,56.83,16.05,26.2,18.35,56.48,5.2,10.6,20.2,1.3,89.6,52.1,0.48
13.25,6.01,40.50371684,28.1,9.5,4.765,29.24,84.45,63.02,59.64,58.43,20.05,26.05,17.65,60.36,5.6,9.6,21.25,2.8,87.9,59.3,0.48
12.95,6.31,39.69187937,25.7,10.55,5.445,27.555,85.1,65.3,59.41,59.67,15,20.45,18.65,61.46,4.6,10.5,18.03,1.6,63.2,52.5,0.17
12.3,7.56,38.95754845,32.8,9.55,4.025,33.615,87.55,62.24,59.43,58.63,12.2,26.3,20.6,60.1,4.7,11,19.7,2.1,89.2,62,0.48
12.35,7.59,40.44918194,33.45,10.15,3.95,33.64,87.1,63.75,62.2,61.65,12.6,19.25,16.6,62.53,4.6,9.8,16.15,1.8,70.7,53,0.22
11.7,6.81,39.18434975,28.55,9.95,4.34,32.675,87.05,73.11,64.02,60.12,14.1,21.25,15.7,65.75,5.1,10.5,17.02,1.6,69.8,43.4,0.23
15.2,5.85,42.7984037,29.1,9.7,4.835,30.95,86.6,68.09,66.75,63.77,11.46,14.1,16.55,66.2,5.4,11.1,14.04,3,65.6,45.6,0.46
12.9,6.08,42.40620982,25.55,8.5,4.61,27.98,84.25,59.16,61.54,62.21,12.75,11.65,13.75,60.97,4.8,9.9,12.72,2,68.8,40.1,0.4
14.15,6.28,41.748425,32.2,7.95,4.31,31.185,84.7,70.99,65.94,63.7,13.65,19.25,13.05,66.88,5.1,10.2,15.32,2.2,78.9,47.9,0.38
12.2,6.08,41.41095223,28.8,8.15,4.4,31.5,86.2,62.53,66.77,64.57,15.1,26.3,14.6,64.62,5,9.4,18.67,2,89,56.4,0.48
19.3,6.03,42.74017,27.1,10.85,4.88,29.545,86.05,63.81,60.16,61.17,16.9,20.05,18.2,61.71,5.1,10.4,18.38,3.3,100.6,52.8,0.53
14.3,5.86,40.62458969,29.9,7.2,3.88,32.195,85.25,60.84,61.09,61.21,18.6,25,19.25,61.05,4.7,11.3,20.95,2.4,84.8,44.9,0.3
19.95,6.26,44.74578218,25.3,9.2,4.915,29.875,85.25,60.37,55.59,58.32,13.5,23.95,17.2,58.09,5.1,10.2,18.22,2.5,78,47.8,0.4
15.3,5.89,39.00369979,28.65,11.15,4.01,28.43,85.7,62.27,59.9,62.65,15.9,18.4,15.8,61.61,5,11.3,16.7,2.6,90.6,46.3,0.47
16.05,6.11,38.45935729,24.5,7.65,4.05,30.405,83.55,77.12,62.46,61.29,13.35,24.9,17.9,66.96,4.8,10.9,18.72,2.2,82.9,52.5,0.46
14.45,6.21,40.58292044,29.35,9.75,4.375,31.875,86.7,63.71,57.96,58.51,16.35,18.1,15.7,60.06,5.1,10.9,16.72,2.8,78,44.8,0.39
17.55,4.05,7.955989805,22.7,10.4,4.7,30.2,83.3,70.58,61.84,63.09,16.15,21.8,21,65.17,5.2,9.6,19.65,2,76.9,47.6,0.27
13.05,6.41,42.68561033,27.65,10.6,4.615,31.015,86.7,66.07,61.89,60.52,19.55,18.4,26,62.83,4.9,12.2,25.65,1.4,111.4,51.1,0.36
12.25,6.26,43.44766457,27.1,12.2,4.615,30.57,86.05,66.92,60.51,60.15,16.8,26.2,24.4,62.53,5.3,11.2,22.47,2.1,99,53.2,0.3
14.8,4.91,42.96054793,25.4,10.55,4.475,29.09,86.35,66.55,61.56,65.82,17,33,29.98,64.64,5.4,10.2,23.85,2.2,99.2,63.1,0.4
15.8,6.5,40.70156511,23.9,10.25,4.67,27.79,84.7,68.49,61.76,59.24,21.3,31.05,23.1,63.16,5.4,10.7,25.15,1.5,87,59.5,0.5
14.1,5.56,31.99708581,25.15,8.05,3.89,27.775,83.7,72.21,68.4,65.1,16.65,22.9,14.65,68.57,4,10.6,18.07,1.6,90.6,52.3,0.51
12.1,5.08,33.74267906,27.85,8.35,4.04,28.065,84.9,64.11,62.9,64.17,3.65,4.38,7.3,63.73,5.8,9.6,5.11,0.9,89.7,40.9,0.5
12.6,4.64,26.09358144,19.85,9.05,2.61,24.605,81.7,64.77,60.62,64.79,19.9,28.55,20.3,63.39,4.9,10.3,25,1.9,99.2,65.3,0.55
15.3,6.36,36.88777411,24.6,6.4,4.23,29.765,82.95,59.66,58.18,61.16,20.2,25.9,14.6,59.67,5.6,9.4,20.23,2,100.1,58.5,0.45
19.05,5.6,35.58550982,27.4,8.3,4.28,28.86,84.55,63.93,63.12,59.28,14.3,26.05,21.7,62.11,4.7,10.9,20.68,2.1,84.4,56.3,0.49
13.25,6.35,42.33774098,27.05,10.65,4.66,29.065,84.6,60.54,57.42,65.33,14.25,21.9,16.15,61.1,4.6,10.5,17.43,2.3,81.2,51.8,0.5
14.4,5.74,37.40173128,27.7,7.8,4.295,30.355,84.7,60.82,59.73,60.12,12.25,20.65,17.3,60.22,4.1,11.3,16.73,1.5,85.9,48.8,0.4
11.65,6.56,33.80403066,33.15,8.75,4.265,32.6,87.45,58.66,53.09,57.39,13.85,22.7,13.6,56.38,5.2,10,16.72,1.5,79.5,51.2,0.27
16.25,6.14,44.61014114,25,9.45,5.095,29.015,85.35,59.12,61,59.78,15.05,25.7,20.55,59.97,4.7,10.4,20.43,1.7,79.8,50.2,0.3
18.85,5.68,37.50809985,26.85,10.2,4.28,29.355,84.95,61.11,63.78,63.2,20.9,21.85,15.9,62.7,4.9,9.1,19.55,2.3,82.9,42.7,0.36
14.9,6.01,41.82588401,25.8,9.5,4.775,29.75,84.7,65.74,59.22,59.65,11.1,22.35,16.7,61.54,4.5,10.6,16.72,1.4,71.5,40.1,0.18
15.75,5.84,43.93051558,22.95,9.25,5.29,25.55,82.8,60.03,58.99,63.43,8.05,12.65,11.15,60.82,3.6,9.5,10.62,1.6,67.3,35.1,0.36
14.15,6.51,41.8283378,27.9,8.95,4.855,31.045,86.7,67.51,64.22,61.44,17.05,25.2,18.2,64.39,5.4,8.1,20.15,2,78.3,52.7,0.22
11.8,6.17,44.44427703,24.85,9.7,5.06,26.795,84.9,66.89,67.08,66.08,13,19,15.45,66.68,4.5,9.6,15.82,1.4,66.5,43.8,0.41
11.25,6.67,34.05060874,27.15,9,4.395,30.38,85.8,77.58,70.53,70.22,16.15,22.85,15.4,72.78,5.2,9.5,18.13,1.9,65,44.3,0.38
26.6,4.61,36.81094931,24.55,8.65,5.665,26.885,81.1,66.49,65.93,66.55,14.6,25.25,18.7,66.32,4.6,12.5,19.52,2.3,82.1,55.9,0.23
16.7,6.33,42.70814931,24.8,9.85,4,30.11,83.8,70.62,64.45,63.88,21.7,30.1,21.75,66.32,4.4,11.1,24.52,2.2,92.6,62.4,0.35
12.5,6.03,41.97999905,27.05,9.1,4.7,29.25,86.35,60.29,56.34,54.93,21.05,27.6,20.8,57.19,5.2,11.5,23.15,1.9,97.1,62.3,0.22
20.25,6.14,36.68504093,28.4,10.4,3.86,31.485,84.95,66.3,61.4,65.11,20.25,30.9,26.55,64.27,4.5,11.1,25.9,1.9,85.3,48.2,0.28
15.75,5.45,42.15194602,22.3,10.05,4.48,27.36,84.9,76.82,64.99,56.94,16.35,27.9,23.2,66.25,4.5,11.3,22.48,1.8,100.5,71,0.62
12.15,5.62,43.36457911,26.45,8.9,4.41,28.255,85.15,65.17,62.92,57.98,8.35,18.4,14.75,62.02,3.8,11.6,13.83,1.5,75.9,42.3,0.47
20.45,5.9,40.00296505,25.85,8.9,4.305,29.895,84.6,62.14,61.6,54.14,16.8,25.2,18.35,59.29,4.6,10.6,20.12,1.5,83.9,60,0.38
22.1,6.19,44.0335842,22.55,8.45,4.61,28.54,82.95,66.04,60.06,59.76,20.05,33.1,27.7,61.95,4.5,11.5,26.95,1.3,93.7,65.4,0.29
15.35,5.86,44.67888726,27.2,9.2,4.9,28.815,85.55,69.56,61.64,62.36,18.15,22.8,18.15,64.52,4.3,11.4,19.7,1.8,90.4,53.5,0.28
12.5,6.14,43.38864416,25.85,10.55,4.6,29.325,85.2,58.64,57.98,58.03,13.4,25.9,19.8,58.22,5.9,11.3,19.7,2.5,92.6,54.8,0.3
14.15,5.72,38.64589575,24.8,14.1,4.03,28.205,85.3,62.52,55.55,56.22,14.95,24.05,16,58.1,5,9.9,18.33,2.5,98.7,61.7,0.34
10.8,6.57,42.46311188,24.15,9.9,4.465,26.915,84.1,68.97,64.3,66.2,8.65,16.8,16.9,66.49,4.7,11.3,14.12,0.2,90.3,52.4,0.3
15.5,6.35,37.20975516,31.5,10.95,3.895,31.97,87.05,66.36,57.05,52.48,5.7,10.8,9.8,58.63,5.3,12,8.77,1.2,101.1,40.9,0.23
20.15,5.23,39.98701562,24,9.6,4.39,28.015,84.8,60.92,61.29,60.27,9.55,25.65,17.95,60.83,3.9,10.3,17.72,1.2,96.2,53.5,0.34
