DRCK,DRT,RDR
51.73,93.63,1.80997487
38.18,82.63,2.164222106
52.65,90.47,1.718328585
35.4,74.48,2.103954802
52.79,83.25,1.57700322
30.62,80.52,2.629653821
56.98,92.99,1.631976132
32.8,87.14,2.656707317
42.25,81.3,1.924260355
60.05,84.96,1.414820983
49.43,91.63,1.853732551
53.47,88.67,1.658313073
45.77,81.08,1.771466026
49.13,78.92,1.606350499
48.56,85.3,1.756589786
51.09,88.14,1.72519084
60.46,90.63,1.499007608
60.87,71.84,1.180220141
52.84,85.23,1.612982589
44.01,74.63,1.695750966
37.77,85.83,2.272438443
56.4,90.56,1.605673759
59.42,90.32,1.520026927
53.92,90.5,1.678412463
52.62,80.83,1.536107944
31.3,83.53,2.668690096
34.2,87.7,2.564327485
53.08,90.35,1.702147702
56.6,81.98,1.448409894
49.51,89.41,1.805897798
67.66,88.42,1.306828259
70.53,85.54,1.212817241
58.43,85.53,1.463802841
48.87,80.58,1.648864334
61.39,83.59,1.361622414
53.13,82.52,1.553171466
59.28,85.46,1.441632928
50.2,87.1,1.735059761
46.6,93.19,1.999785408
67.49,89.16,1.321084605
58.33,93.2,1.597805589
59.29,84.35,1.422668241
52.96,89.11,1.682590634
61.31,90.98,1.483934105
49.16,75.51,1.536004882
43.42,83.28,1.918010134
46.24,88.4,1.911764706
44.7,89.69,2.006487696
44.19,91.65,2.073998642
38.69,92.59,2.393124838
46.06,91.28,1.981762918
51.84,86.53,1.669174383
40.31,83.68,2.075911684
50.18,87.66,1.74691112
49.08,79.67,1.623268134
60.56,87.29,1.441380449
61.84,79.5,1.285575679
79.24,83.99,1.059944472
52.96,85.12,1.607250755
49.45,79.33,1.604246714
58.97,87.08,1.476683059
71.73,94.96,1.323853339
60.04,88.48,1.473684211
52.01,90.57,1.741395885
41.99,94.08,2.24053346
67.21,85.98,1.279273918
60.91,87.38,1.434575603
38.74,84.4,2.178626742
