,K01938,K01491,K13990,K00297,K00122,acs,K00625,K00925,apr,K00958,dsr,nif,nar,nap,nir,nrf,ure,glt,K01915,K03320,K00926,arg,mcr
301_30-BDIT086-Macrotermitinae-Odontotermes_sp,1.770037152,2.138132434,1.850457322,2.039595969,1.905957613,2.165889405,2.222820744,2.207306008,0.309245306,0.953160638,0.377831495,1.277946595,0.354446711,1.057447647,1.892276595,1.656125869,0,2.148833596,2.093389136,0.679766206,1.725816297,2.451144066,0.843512082
301_86-THAI064-Macrotermitinae-Odontotermes_javanicus,0.729887742,1.954957488,1.474485298,1.877133905,1.781688079,1.501995657,2.146355943,1.892453416,0,0,0,1.073913354,0,0,1.682118837,0.710804074,0,2.124981009,1.805041555,0,1.095863772,2.189487484,0.665728701
301_72-RDCT144-Macrotermitinae-Odontotermes_sp_D,1.475378253,1.88901028,1.394070332,1.834290523,1.065223133,1.792895585,2.235959086,2.048900608,0,0,0,1.304423655,0,1.318413657,1.37644267,1.395057117,0,1.879811508,1.926826688,0.360637901,1.424665088,2.270987402,0
272_26-CAM16_02a-Macrotermitinae-Acanthotermes,1.415476087,1.60379764,0,1.624007052,0,1.340658354,1.785499319,1.43862583,0,0,0,0,0,2.022560706,1.315935705,1.371252629,0,0,1.626725938,0,0,1.678940205,0
272_83-RDCT109-Macrotermitinae-Pseudacanthotermes_militaris,1.037324686,1.868930309,1.164287558,1.791256446,2.011013941,1.720317639,2.121837507,1.918263608,0,0,0,2.093640175,2.12342484,2.124501343,2.047907013,1.240530179,0.921815964,2.08209897,1.826695342,1.225101779,1.766317069,2.186207953,1.790220782
230_22-RDCT165-Sphaerotermitinae-Sphaerotermes_sphaerothorax,1.919923562,2.229585652,0,1.938242268,0.725847218,2.129085922,2.206101627,2.0514618,1.234525585,0,0,0.790383063,0,0,1.828449838,0,0,2.115075691,2.161175046,0,1.598888961,2.562107556,0
301_63-NG90-Rhinotermitidae-Prorhinotermes_inopinatus,1.591800447,2.33723608,1.397476021,2.285824181,1.607978413,2.330137029,2.525082948,2.349669882,0.536508445,0,0,1.722983562,1.115687513,1.948656127,1.481962224,1.573300889,1.078789625,2.733165849,2.289804931,2.287453557,1.361579527,2.606181454,1.632572613
230_25-BRA31-Serritermitidae-Serritermes,1.315415794,2.024135788,2.038124291,1.658688578,0,1.351912284,1.843385265,1.947898129,0,0,0,0,1.265172902,1.490872655,1.221406543,2.119147342,0,1.618842317,1.710215938,0,0,2.068730815,0
272_37-G13_144-Serritermitidae-Glossotermes,1.201042142,1.57217279,1.21491558,1.467188539,0,1.698887863,1.797346884,1.425499609,0,0,0,1.002718841,1.054356998,1.439986439,0.912907456,1.401108155,0.840925773,1.64076465,1.11727786,1.019963398,0,1.886915996,0
272_03-30-Rhinotermitidae-Parrhinotermes_browni,1.301648425,2.202912411,1.669358708,2.135668031,1.852532569,2.351356129,2.443043508,2.197907285,1.031510784,0.502047424,0.671047351,1.976726799,0.908966765,1.471809137,1.674420278,1.438244537,1.426413233,2.689750199,2.20206862,2.098455686,1.314958941,2.501736756,0
301_82-THAI23-Rhinotermitidae-Parhinotermes_sp_A,1.568466481,2.382176484,0,2.270925264,0,2.371940171,2.368288572,2.376754133,0,0,0.877236486,0,1.03825509,1.435389042,1.275983656,0,0,2.664240706,2.329925423,0.950373569,1.288012737,2.611192833,0
272_102-THAI63-Rhinotermitidae-Schedorhinotermes_sp_3,0,1.820803725,0,1.741126605,0,1.746766491,2.037268721,1.854194733,0,0,0,0,0,0,0,0,0,2.304880578,1.867449562,1.742370923,0,2.05721091,0
272_92-TBRU23A-Rhinotermitidae-Schedorhinotermes,0.963544035,2.274897612,0.98057876,2.127811695,0,2.072990273,2.48411835,2.195942289,0,0,0,1.350994847,0,0.847826561,1.421616413,0,1.42733921,2.621037426,2.19989018,2.229056669,0.707879352,2.431092097,0.628496622
301_70-RDCT112-Rhinotermitidae-Schedorhinotermes_lamanianus,1.243677752,2.435847908,1.266340445,2.337674588,0.986244575,2.427630702,2.686048373,2.334189069,0.430270541,0,0,1.43110319,1.013304114,1.312604435,1.045965377,1.179527979,1.398301487,2.831341959,2.346142375,2.371797007,0.811836844,2.674081026,0
301_45-G13_54-Rhinotermitidae-Dolichorhinotermes_longilabius,1.034064109,2.474814128,1.26909124,2.376175292,1.524894723,2.348158029,2.708436245,2.354470578,0,0,0.685267248,1.608981942,1.074020712,1.73007248,1.541130378,0,1.947591177,2.87621628,2.405539337,2.353976986,1.518304599,2.733620876,0
